Epoch 1 | Train Loss : 32.8986 | Val Loss : 33.0259
Epoch 2 | Train Loss : 29.8733 | Val Loss : 32.5111
Epoch 3 | Train Loss : 25.5437 | Val Loss : 30.4920
Epoch 4 | Train Loss : 21.8603 | Val Loss : 29.7294
Epoch 5 | Train Loss : 19.9761 | Val Loss : 27.3838
Epoch 6 | Train Loss : 19.0523 | Val Loss : 26.2274
Epoch 7 | Train Loss : 18.2553 | Val Loss : 25.2783
Epoch 8 | Train Loss : 17.4830 | Val Loss : 24.2554
Epoch 9 | Train Loss : 17.0452 | Val Loss : 23.9374
Epoch 10 | Train Loss : 16.8379 | Val Loss : 23.1049
Epoch 11 | Train Loss : 16.4902 | Val Loss : 23.6578
Epoch 12 | Train Loss : 16.3020 | Val Loss : 21.5965
Epoch 13 | Train Loss : 15.9121 | Val Loss : 22.4041
Epoch 15 | Train Loss : 15.5081 | Val Loss : 18.7596
Epoch 16 | Train Loss : 15.1854 | Val Loss : 17.6621
Epoch 17 | Train Loss : 14.9628 | Val Loss : 16.9210
Epoch 18 | Train Loss : 14.8538 | Val Loss : 16.4839
Epoch 19 | Train Loss : 14.7134 | Val Loss : 15.9630
Epoch 20 | Train Loss : 14.4899 | Val Loss : 15.6416
Epoch 21 | Train Loss : 14.3653 | Val Loss : 15.3643
Epoch 22 | Train Loss : 14.0700 | Val Loss : 15.1227
Epoch 23 | Train Loss : 14.0024 | Val Loss : 14.9461
Epoch 24 | Train Loss : 13.7791 | Val Loss : 14.8351
Epoch 25 | Train Loss : 13.6405 | Val Loss : 14.9671
Epoch 26 | Train Loss : 13.7090 | Val Loss : 14.7531
Epoch 27 | Train Loss : 13.4576 | Val Loss : 14.5914
Epoch 28 | Train Loss : 13.2887 | Val Loss : 14.5312
Epoch 29 | Train Loss : 13.1727 | Val Loss : 14.3847
Epoch 30 | Train Loss : 13.1539 | Val Loss : 14.2899
Epoch 31 | Train Loss : 13.1452 | Val Loss : 14.2471
Epoch 32 | Train Loss : 13.1203 | Val Loss : 14.2814
Epoch 33 | Train Loss : 13.0110 | Val Loss : 14.1646
Epoch 34 | Train Loss : 12.8818 | Val Loss : 13.9821
Epoch 35 | Train Loss : 12.8412 | Val Loss : 14.0345
Epoch 36 | Train Loss : 12.7637 | Val Loss : 13.9853
Epoch 37 | Train Loss : 12.7577 | Val Loss : 13.9060
Epoch 38 | Train Loss : 12.5861 | Val Loss : 13.8181
Epoch 39 | Train Loss : 12.6816 | Val Loss : 13.7006
Epoch 40 | Train Loss : 12.5174 | Val Loss : 13.7854
Epoch 41 | Train Loss : 12.4689 | Val Loss : 13.6980
Epoch 42 | Train Loss : 12.3797 | Val Loss : 13.6081
Epoch 43 | Train Loss : 12.4304 | Val Loss : 13.6618
Epoch 44 | Train Loss : 12.3550 | Val Loss : 13.5068
Epoch 45 | Train Loss : 12.3207 | Val Loss : 13.5542
Epoch 46 | Train Loss : 12.2376 | Val Loss : 13.4513
Epoch 47 | Train Loss : 12.2395 | Val Loss : 13.5585
Epoch 48 | Train Loss : 12.1487 | Val Loss : 13.3981
Epoch 49 | Train Loss : 12.1846 | Val Loss : 13.4803
